sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
17,16.0,150.4912,1.0
20,35.0,172.41470000000004,1.0
21,55.0,202.76399999999998,1.0
19,74.0,171.43680000000003,1.0
21,94.0,202.66639999999995,1.0
20,113.0,171.33380000000002,1.0
20,132.0,171.63000000000002,1.0
18,149.0,160.75699999999998,1.0
22,170.0,213.3548,1.0
19,188.0,171.844,1.0
20,207.0,151.51940000000005,1.0
20,226.0,192.1717,1.0
22,248.0,202.6265,1.0
19,266.0,181.3604,1.0
18,284.0,170.65550000000005,1.0
18,302.0,160.66509999999997,1.0
20,321.0,192.32100000000003,1.0
19,340.0,181.5855,1.0
23,362.0,223.06449999999998,1.0
20,382.0,191.32710000000006,1.0
20,402.0,191.85840000000002,1.0
20,421.0,171.4709,1.0
20,440.0,191.69689999999997,1.0
21,460.0,191.66479999999999,1.0
21,480.0,202.7096,1.0
20,499.0,192.18859999999995,1.0
19,518.0,182.1108,1.0
19,536.0,180.4299,1.0
18,553.0,160.8777,1.0
17,570.0,130.21339999999998,1.0
19,588.0,181.5913,1.0
19,607.0,171.06659999999997,1.0
20,626.0,191.5391,1.0
23,648.0,223.97520000000003,1.0
19,667.0,171.1922,1.0
19,686.0,171.6451,1.0
20,706.0,192.03369999999993,1.0
18,724.0,160.7829,1.0
19,743.0,181.73930000000001,1.0
22,764.0,212.9634,1.0
18,782.0,170.7704,1.0
20,802.0,191.6246,1.0
19,821.0,181.32169999999996,1.0
20,841.0,182.5505,1.0
19,860.0,181.14279999999997,1.0
21,880.0,192.29719999999998,1.0
19,898.0,181.43029999999996,1.0
19,916.0,160.74319999999997,1.0
17,933.0,160.2481,1.0
18,950.0,160.9197,1.0
20,970.0,191.95079999999996,1.0
19,988.0,171.2661,1.0
19,1007.0,171.3531,1.0
21,1027.0,202.5543,1.0
19,1045.0,161.1492,1.0
22,1066.0,213.30180000000001,1.0
20,1086.0,191.71239999999997,1.0
19,1104.0,181.686,1.0
20,1123.0,192.16119999999998,1.0
24,1146.0,233.50209999999998,1.0
20,1165.0,192.1295,1.0
20,1184.0,171.4201,1.0
20,1204.0,161.55399999999997,1.0
22,1225.0,213.28030000000004,1.0
19,1244.0,161.2631,1.0
20,1263.0,182.03640000000001,1.0
21,1283.0,202.2635,1.0
19,1302.0,181.7324,1.0
20,1322.0,191.76209999999998,1.0
19,1341.0,161.31279999999995,1.0
21,1362.0,192.62279999999996,1.0
19,1380.0,161.02599999999998,1.0
19,1399.0,181.5402,1.0
20,1419.0,191.97720000000004,1.0
21,1440.0,203.08109999999996,1.0
21,1461.0,181.9533,1.0
22,1482.0,202.96339999999995,1.0
20,1501.0,192.0825,1.0
21,1521.0,202.65380000000002,1.0
20,1541.0,172.1948,1.0
20,1560.0,171.201,1.0
19,1579.0,181.3629,1.0
24,1602.0,234.39699999999996,1.0
21,1622.0,202.88919999999996,1.0
19,1641.0,181.88880000000003,1.0
19,1659.0,181.06700000000004,1.0
19,1678.0,181.70870000000002,1.0
19,1696.0,160.71710000000002,1.0
20,1715.0,192.28859999999997,1.0
22,1736.0,202.80829999999997,1.0
22,1757.0,172.55720000000005,1.0
20,1777.0,181.67479999999998,1.0
21,1797.0,202.66660000000005,1.0
17,1814.0,160.7545,1.0
21,1834.0,202.54280000000003,1.0
19,1852.0,171.6974,1.0
22,1873.0,213.24849999999995,1.0
21,1893.0,192.34660000000002,1.0
21,1913.0,192.2278,1.0
20,1932.0,192.2366,1.0
21,1952.0,202.6442,1.0
19,1970.0,181.4741,1.0
18,1988.0,170.63230000000001,1.0
23,2010.0,223.50470000000004,1.0
20,2030.0,191.92120000000003,1.0
21,2051.0,192.42129999999997,1.0
22,2073.0,213.13589999999996,1.0
19,2092.0,160.93069999999997,1.0
20,2112.0,192.24769999999998,1.0
19,2131.0,181.15359999999998,1.0
21,2151.0,192.17069999999998,1.0
21,2172.0,202.5122,1.0
20,2191.0,191.6248,1.0
19,2209.0,181.15699999999998,1.0
18,2226.0,161.01659999999998,1.0
19,2245.0,171.21770000000004,1.0
19,2263.0,170.9161,1.0
19,2281.0,160.9215,1.0
21,2301.0,192.3522,1.0
20,2321.0,191.88810000000004,1.0
19,2339.0,181.6025,1.0
19,2357.0,181.38350000000003,1.0
22,2378.0,213.3691,1.0
19,2397.0,171.71490000000009,1.0
20,2417.0,191.9648,1.0
19,2436.0,171.6087,1.0
23,2459.0,223.72230000000002,1.0
19,2477.0,171.5277,1.0
21,2497.0,202.5338,1.0
20,2517.0,192.0242,1.0
21,2537.0,202.1833,1.0
18,2555.0,160.83150000000003,1.0
20,2574.0,171.4248,1.0
20,2593.0,191.48069999999998,1.0
17,2610.0,159.95630000000006,1.0
18,2628.0,160.5046,1.0
18,2645.0,171.6684,1.0
18,2663.0,150.7382,1.0
19,2681.0,181.7618,1.0
21,2702.0,202.73680000000002,1.0
21,2723.0,192.53499999999997,1.0
20,2742.0,192.22469999999996,1.0
21,2762.0,171.77299999999997,1.0
20,2782.0,191.9324,1.0
19,2800.0,161.09369999999996,1.0
17,2817.0,160.65480000000002,1.0
19,2836.0,171.46810000000002,1.0
18,2853.0,171.4398,1.0
18,2870.0,170.9014,1.0
17,2887.0,159.7967,1.0
19,2905.0,181.531,1.0
21,2925.0,192.08579999999998,1.0
18,2942.0,170.7845,1.0
18,2960.0,171.62810000000002,1.0
20,2980.0,172.04039999999998,1.0
21,3000.0,202.7911,1.0
19,3019.0,181.6203,1.0
18,3037.0,171.18040000000002,1.0
20,3056.0,181.3545,1.0
20,3076.0,182.2474,1.0
21,3097.0,192.3655,1.0
19,3116.0,181.62100000000004,1.0
19,3135.0,171.29550000000003,1.0
21,3155.0,202.92530000000002,1.0
23,3178.0,223.0959,1.0
19,3196.0,181.3259,1.0
18,3213.0,170.95480000000003,1.0
21,3233.0,202.80199999999996,1.0
21,3253.0,202.7325,1.0
21,3274.0,202.52950000000004,1.0
19,3293.0,150.64860000000002,1.0
18,3311.0,170.93620000000004,1.0
19,3330.0,160.85180000000003,1.0
18,3348.0,170.02970000000002,1.0
18,3366.0,170.80399999999995,1.0
19,3385.0,171.14800000000002,1.0
21,3405.0,182.2455,1.0
21,3425.0,202.69770000000003,1.0
18,3443.0,171.3021,1.0
18,3461.0,171.1758,1.0
25,3485.0,233.65220000000005,1.0
22,3507.0,213.09680000000003,1.0
21,3527.0,192.3672,1.0
20,3546.0,192.03430000000006,1.0
20,3565.0,192.64409999999998,1.0
